ನಿರ್ಮಾಪಕ	JJ.n.m.sg.3.d	ನಿರ್ಮಾಪಕ.0
ಕೆ.ಎ.ಸುರೇಶ್‌	UNK	ಕೆ.ಎ.ಸುರೇಶ್‌.
ತಮ್ಮ	PRP.n.m.sg.3.d	ತಮ್ಮ.0
"ಗೋವಿಂದಾಯ	UNK	"ಗೋವಿಂದಾಯ.
ನಮಃ'	UNK	ನಮಃ'.
ಚಿತ್ರಕ್ಕೆ	NN.n.n.sg..o	ಚಿತ್ರ.ಇಗೆ
ವಿದೇಶಿ	JJ.n.f.sg.3.d	ವಿದೇಶಿ.0
ಅನಾ	NN.unk....	ಅನಾ.
ಎಂಬ	PRP.unk....	ಎಂಬ.
ವಿದೇಶಿ	JJ.n.f.sg.3.d	ವಿದೇಶಿ.0
ಬೆಡಗಿಯೊಬ್ಬರನ್ನು	UNK	ಬೆಡಗಿಯೊಬ್ಬರನ್ನು.
ಕರೆತಂದಿದ್ದರು.	UNK	ಕರೆತಂದಿದ್ದರು..
.	SYM.punc....	..


ಈಗ	NST.avy....	ಈಗ.
ಸುರೇಶ್‌	UNK	ಸುರೇಶ್‌.
ಮತ್ತೆ	RB.avy....	ಮತ್ತೆ.
ಸಿನಿಮಾದಲ್ಲಿ	NN.n.n.sg..o	ಸಿನಿಮಾ.ಅಲ್ಲಿ
ಫಾರಿನ್‌	UNK	ಫಾರಿನ್‌.
ಹುಡುಗಿಯನ್ನು	NN.n.f.sg.3.o	ಹುಡುಗಿ.ಅನ್ನು
ನಾಯಕಿಯನ್ನಾಗಿಸಿದ್ದಾರೆ!	UNK	ನಾಯಕಿಯನ್ನಾಗಿಸಿದ್ದಾರೆ!.
ಹೀಗೆಂದರೆ	VM.unk....	ಹೀಗೆಂದರೆ.
ನಿಮಗೆ	PRP.pn..pl.1.o	ನೀನು.ಇಗೆ
ಆಶ್ಚರ್ಯವಾಗಬಹುದು.	UNK	ಆಶ್ಚರ್ಯವಾಗಬಹುದು..
.	SYM.punc....	..


ಹೌದು,	UNK	ಹೌದು,.
ಸುರೇಶ್‌	UNK	ಸುರೇಶ್‌.
ನಿರ್ಮಿಸುತ್ತಿರುವ	VM.v.any.any.any.	ನಿರ್ಮಿಸು.ತ್ತಿರುವ
"ರಾಜು	UNK	"ರಾಜು.
ಕನ್ನಡ	NN.unk....	ಕನ್ನಡ.
ಮೀಡಿಯಂ'	UNK	ಮೀಡಿಯಂ'.
ಸಿನಿಮಾದಲ್ಲಿ	NN.n.n.sg..o	ಸಿನಿಮಾ.ಅಲ್ಲಿ
ಆ್ಯಂಜಲೀನಾ	UNK	ಆ್ಯಂಜಲೀನಾ.
ಎಂಬ	PRP.unk....	ಎಂಬ.
ರಷ್ಯದ	NN.unk....	ರಷ್ಯದ.
ಮಾಡೆಲ್‌	UNK	ಮಾಡೆಲ್‌.
ಒಬ್ಬಳು	QC.adj....	ಒಬ್ಬ.ನು
ನಟಿಸಿದ್ದಾಳೆ..	UNK	ನಟಿಸಿದ್ದಾಳೆ...
.	SYM.punc....	..


ಅಂದಹಾಗೆ,	UNK	ಅಂದಹಾಗೆ,.
ರಷ್ಯನ್‌	UNK	ರಷ್ಯನ್‌.
ಮಾಡೆಲ್‌	UNK	ಮಾಡೆಲ್‌.
ಕೂಡಾ	NN.avy....	ಕೂಡಾ.
ರಾಜುವಿನ	NN.unk....	ರಾಜುವಿನ.
ಒನ್‌	UNK	ಒನ್‌.
ಆಫ್	NN.unk....	ಆಫ್.
ದಿ	NN.unk....	ದಿ.
ನಾಯಕಿ	NN.n.f.sg.3.d	ನಾಯಕಿ.0
ಎಂದರೆ	VM.v.any.any.any.	ಎನ್ನು.ಅರೆ
ನೀವು	PRP.v..sg.2.	ನೀವು.0
ನಂಬಲೇಬೇಕು.	UNK	ನಂಬಲೇಬೇಕು..
.	SYM.punc....	..


ಚಿತ್ರದಲ್ಲಿ	NN.n.n.sg..o	ಚಿತ್ರ.ಅಲ್ಲಿ
ಮೂವರು	QC.n.m.sg.3.d	ಮೂವರು.0
ನಾಯಕಿಯರು.	UNK	ನಾಯಕಿಯರು..
.	SYM.punc....	..


ಈಗಾಗಲೇ	NST.avy....	ಈಗಾಗಲೇ.
ಅವಂತಿಕಾ	NN.unk....	ಅವಂತಿಕಾ.
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
ಆಶಿಕಾ	UNK	ಆಶಿಕಾ.
ನಾಯಕಿಯರಾಗಿ	RB.n.f.pl.3.o	ನಾಯಕಿ.ಆಗಿ
ನಟಿಸಿದ್ದು,	UNK	ನಟಿಸಿದ್ದು,.
ಅವರು	PRP.n.f.pl.3.d	ಅವಳು.0
ನಟಿಸಿದ	VM.v.any.any.any.	ನಟಿಸು.ಅ
ಬಹುತೇಕ	JJ.avy....	ಬಹುತೇಕ.
ದೃಶ್ಯಗಳ	NN.n.n.pl..o	ದೃಶ್ಯ.ಅ
ಚಿತ್ರೀಕರಣ	NN.unk....	ಚಿತ್ರೀಕರಣ.
ಮುಗಿದು	VM.v.any.any.any.	ಮುಗಿ.ದು
ಹೋಗಿದೆ.	UNK	ಹೋಗಿದೆ..
.	SYM.punc....	..


ಈಗ	NST.avy....	ಈಗ.
ಫಾರಿನ್‌	UNK	ಫಾರಿನ್‌.
ಹುಡುಗಿ	NN.n.f.sg.3.d	ಹುಡುಗಿ.0
ಚಿತ್ರೀಕರಣ	NN.unk....	ಚಿತ್ರೀಕರಣ.
ಬಾಕಿ	NN.n.n.sg..d	ಬಾಕಿ.0
ಇತ್ತು.	UNK	ಇತ್ತು..
.	SYM.punc....	..


ಇತ್ತೀಚೆಗೆ	NST.avy....	ಇತ್ತೀಚೆಗೆ.
ಚಿತ್ರತಂಡ	NN.unk....	ಚಿತ್ರತಂಡ.
ವಿದೇಶಕ್ಕೆರ	UNK	ವಿದೇಶಕ್ಕೆರ.
ತೆರಳಿ	NN.v..pl.2.	ತೆರಳು.0
ಆ್ಯಂಜಲೀನ್‌	UNK	ಆ್ಯಂಜಲೀನ್‌.
ಜೊತೆ	UNK	ಜೊತೆ.
ಚಿತ್ರೀಕರಣ	NN.unk....	ಚಿತ್ರೀಕರಣ.
ಮುಗಿಸಿಕೊಂಡು	UNK	ಮುಗಿಸಿಕೊಂಡು.
ಬಂದಿದೆ.	UNK	ಬಂದಿದೆ..
.	SYM.punc....	..


ಸುಮಾರು	JJ.avy....	ಸುಮಾರು.
15	QC.num....	15.
ದಿನಗಳ	NN.n.n.pl..o	ದಿನ.ಅ
ಕಾಲ	NN.n.n.sg..d	ಕಾಲ.0
ವಿದೇಶದಲ್ಲಿ	NN.n.n.sg..o	ವಿದೇಶ.ಅಲ್ಲಿ
ಚಿತ್ರೀಕರಣ	NN.unk....	ಚಿತ್ರೀಕರಣ.
ಮಾಡಲಾಗಿದೆ.	UNK	ಮಾಡಲಾಗಿದೆ..
.	SYM.punc....	..


.	SYM.punc....	..
.	SYM.punc....	..


ಇದು	PRP.n.n.sg..d	ಇದು.0
ಫಾರಿನ್‌	UNK	ಫಾರಿನ್‌.
ಬೆಡಗಿ	NN.n.n.sg..d	ಬೆಡಗಿ.0
ಆ್ಯಂಜಲೀನಾ	UNK	ಆ್ಯಂಜಲೀನಾ.
ವಿಷಯವಾದರೆ,	UNK	ವಿಷಯವಾದರೆ,.
"ರಾಜು	UNK	"ರಾಜು.
ಕನ್ನಡ	NN.unk....	ಕನ್ನಡ.
ಮೀಡಿಯಂ'	UNK	ಮೀಡಿಯಂ'.
ಚಿತ್ರದಲ್ಲಿ	NN.n.n.sg..o	ಚಿತ್ರ.ಅಲ್ಲಿ
"ಬಿಗ್‌ಬಾಸ್‌	UNK	"ಬಿಗ್‌ಬಾಸ್‌.
ಸೀಸನ್‌-4'	UNK	ಸೀಸನ್‌-4'.
ವಿನ್ನರ್‌	UNK	ವಿನ್ನರ್‌.
ಪ್ರಥಮ್‌	UNK	ಪ್ರಥಮ್‌.
